recommendation1,recommendation2,recommendation3
1376,249,1652
1179,1803,847
1480,546,627
965,243,966
964,925,926
924,923,968
558,107,1132
478,1059,469
892,200,9
1652,547,165
1960,1061,872
28,193,1376
501,200,687
1698,1994,660
1858,1808,875
698,1019,1652
1347,107,576
348,1963,970
875,628,115
1960,147,1535
1382,1031,951
1658,9,200
1383,822,496
914,1081,1136
1803,875,1149
683,1532,1084
200,1261,558
1398,876,345
262,629,873
1007,1068,476
1068,1028,923
1610,345,912
469,34,291
875,562,493
765,815,67
502,1889,1088
300,513,469
1280,1486,33
663,508,673
1287,1995,546
1002,1656,438
1001,906,819
1434,664,207
1456,1583,1227
508,663,1280
911,779,1068
990,1556,1204
628,1084,473
1803,1913,875
1473,628,697
1412,78,699
1026,1595,1013
1174,200,1012
1376,1178,686
790,628,561
205,546,1384
1289,540,4
480,1091,1289
875,1520,750
707,839,624
663,714,556
1130,974,524
1382,546,951
734,1327,1986
1057,1533,1035
1595,1028,671
1520,940,247
1595,1026,923
708,119,1285
512,822,961
944,1326,1235
311,1583,1061
1375,72,1494
33,1132,1486
1089,1061,1631
1652,961,1376
1782,575,207
1922,288,348
937,624,1376
588,295,597
1494,480,618
1335,399,295
1539,621,742
646,1875,1626
1592,1595,1028
289,1136,1595
942,792,621
1294,1481,1174
485,1361,1980
1057,1252,501
1385,1387,802
501,1829,1393
1382,637,588
300,83,922
627,546,612
1246,1480,1464
712,1803,1050
1066,1913,1931
1067,1061,1133
862,1852,907
1059,249,907
1062,790,120
1062,790,120
474,875,628
1068,1913,968
1913,1068,1058
1059,318,115
1913,1066,115
874,1079,158
875,831,304
119,462,968
875,1533,750
890,393,1207
1893,1890,951
817,1595,1370
629,1058,790
200,165,504
595,779,1054
873,907,1061
1079,907,80
1913,1914,984
923,924,823
467,683,502
628,249,1008
1167,1061,318
1480,546,1725
262,629,873
1006,831,628
1068,1913,690
1824,894,1940
1018,188,1092
215,1284,1579
1531,1448,1673
623,1284,1776
986,1084,1092
875,1199,485
462,1071,119
1007,990,1476
668,1781,484
1067,318,312
1254,1761,1915
2075,1477,1059
1511,663,359
1050,546,538
519,1289,1694
588,135,1986
1263,1802,699
508,905,1034
1782,1024,288
1457,1706,116
703,1702,1902
1643,1486,1556
1759,1485,1966
1383,579,121
700,249,212
1643,480,1570
119,1071,663
1911,1108,1021
1108,1118,508
1018,1643,857
1092,1091,1579
1486,1610,1129
1963,1436,508
531,318,1006
86,469,1706
779,1006,929
928,927,1084
628,1084,1943
1960,1068,1486
1022,974,524
572,1960,536
967,595,1483
1059,689,872
659,481,734
31,442,189
1914,984,1595
1750,317,1742
1641,635,1376
1960,1456,1088
235,873,158
1006,94,1089
689,790,1089
628,1069,514
1287,964,546
1387,677,189
546,430,671
627,493,875
1072,1706,1934
712,1803,929
1451,1532,1580
119,115,1370
578,92,540
913,822,151
1289,188,578
628,361,1084
1494,380,295
1494,1515,244
974,1994,622
1532,1071,1638
943,621,206
1383,1000,802
273,821,1106
482,1072,1515
1165,1497,200
1165,1497,200
1067,816,1006
668,1085,929
628,875,1552
115,1007,335
1450,83,111
628,917,711
1539,1127,1515
1652,322,288
1829,454,501
1218,287,1236
1254,522,659
1371,825,1809
1376,687,700
962,1067,318
628,119,1070
1556,525,12
1956,1961,1075
226,1045,1068
12,525,508
430,739,94
951,1607,1382
493,546,864
111,1028,1535
713,1476,1478
200,29,1293
973,1806,1984
700,359,388
1382,546,443
1195,497,919
1194,497,1384
489,1850,1469
676,295,74
179,1494,203
304,875,628
1913,1533,472
1533,628,1087
1478,713,1980
1474,1199,456
1471,825,1068
1652,687,821
31,802,179
1580,1214,1456
1652,220,1595
1210,1173,322
1806,1563,1441
1212,1652,201
1698,1211,858
1451,1328,1638
628,1533,1084
836,1196,189
135,189,1515
140,409,410
1532,1638,1033
868,992,1030
1494,504,1485
1494,1482,1951
200,381,1331
628,1023,747
1825,1225,488
1224,1527,488
952,245,1776
1472,1004,1973
866,1263,1774
1006,984,779
790,1079,120
628,562,28
1052,1913,1068
1590,985,1803
1088,132,1070
866,1590,1412
750,819,440
702,1990,687
659,1391,827
983,1383,512
1375,1539,1465
628,1231,1438
628,138,1010
628,1084,116
472,508,474
28,700,1918
659,1059,687
1515,1084,1580
1246,1654,481
905,4,1251
1026,1370,1393
1108,1486,508
1450,1654,518
249,532,1287
1595,923,924
1435,1289,1156
1829,780,1287
377,442,1362
1258,756,1685
1260,1457,1314
1259,1457,678
107,200,1654
151,501,1261
1382,293,1228
1966,1391,501
1486,1280,795
763,546,111
628,1556,1070
1048,1456,1089
750,223,1341
440,1464,200
1809,847,1830
94,262,517
1990,398,1652
1642,1078,1538
1334,821,1024
538,98,111
1704,974,1775
1334,489,1782
1960,594,872
998,1486,1078
261,121,496
1401,951,944
1829,1058,546
331,348,675
179,780,1061
1327,165,174
1000,546,442
33,872,595
1017,1435,967
1291,559,1178
1290,822,802
1706,1890,1760
1013,1913,29
1048,1174,1089
1054,1718,120
2004,288,309
1297,1485,478
1835,902,115
200,1652,165
1301,964,244
1301,964,244
1843,588,1828
2019,1094,1284
1348,501,552
1928,1927,1480
967,452,1132
1308,259,236
1308,259,236
1450,1254,541
130,1652,940
107,1115,1827
658,1465,967
1652,105,1205
678,1457,1458
1072,1361,1716
1341,664,673
1252,802,518
1317,1788,1654
1318,508,999
1638,1157,1539
107,501,151
1742,602,641
830,220,380
1556,1532,971
765,1499,942
1031,704,925
611,359,576
345,381,179
1658,1581,1455
1026,1977,1718
200,1355,381
1876,742,872
637,1774,822
158,553,1977
1042,1539,399
1046,160,307
776,1078,1538
1450,1984,1829
454,460,1485
634,366,1985
1316,1375,804
631,1434,434
231,893,436
729,1520,26
546,1480,1287
1252,1417,1829
659,1134,414
1304,518,1252
1356,700,1327
789,726,922
866,944,699
1601,94,1595
1961,1432,922
961,1173,1205
1652,524,200
377,588,1362
135,377,1927
839,624,318
1450,1865,1667
207,1841,1848
1980,1072,2003
576,893,1347
135,893,166
1237,121,937
734,687,504
1386,221,606
1520,788,262
211,974,1016
200,973,1013
501,546,1450
1177,825,1680
1515,841,1802
244,1539,841
570,109,171
673,179,1656
581,288,1178
488,411,1224
330,1377,365
182,1752,1825
74,1581,1455
687,3,1057
1263,866,443
579,572,687
546,1574,1086
1807,873,378
1059,1254,1699
677,1051,659
531,1284,1690
26,1951,473
22,1383,546
827,1481,1415
913,822,200
1052,262,1796
922,1652,812
309,1421,76
1258,756,1685
923,924,1028
988,876,99
86,244,442
1404,546,1384
1282,866,944
653,1263,1228
211,622,140
1405,1400,1539
1404,608,1287
105,702,1254
205,1484,1852
753,659,1246
1850,837,262
579,234,121
1067,874,1059
866,1351,1760
627,914,1808
538,1075,1483
1416,1420,1391
1415,937,1252
1914,1450,1254
1445,659,558
1079,1024,873
454,1415,1421
1500,1376,121
1383,1814,1450
220,1654,249
1483,795,508
1134,873,158
827,184,657
160,1246,32
1370,501,546
1449,1178,1948
611,734,687
822,1485,1261
768,659,893
409,1153,1003
1342,967,1003
700,741,1289
943,1131,1383
107,1132,967
951,1382,948
1658,1450,1654
292,1652,878
812,1376,328
